Gtin;Status;BrandName;TradeItemDescription.LanguageCode;TradeItemDescription.Value;TradeItemDescription.LanguageCode;TradeItemDescription.Value;ProductNetContent.Value;ProductNetContent.MeasureUnit;ProductNetContent.MeasureUnitCode;GpcId;TradeItemUnitDescriptorCode;TradeItemUnitDescriptor;IsTradeItemAConsumerUnit;ChildGtin.Quantity;ChildGtin.Gtin;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;TargetMarket.CountryCode;TargetMarket.CountryName;TargetMarket.AdditionalTradeItemIdentification;TargetMarket.ExternalProductImageUrl;CreatedDateTime;LastChangeDateTime;EAN;EAN sá?ek;EAN Krabice;Druh položky;Produktová ?ada;Kategorie;Prefix kategorie;Kód kategorie;Podkategorie;Provedení;Kod provedení;Varianta;Odd?lova?;Kód produktu;Prefix Kód produktu;Druh materiálu;Skupina položek AX;Skupina ?ádkové slevy AX;Dodavatel;I?O Dodavatele;Zem? p?vodu;Norma;T?ída materiálu;Pr?m?r;Úhel [°];Váha [kg];Pr?m?r (D) [mm];Tlouš?ka st?ny (T) [mm];Rozm?r;First line engraving;Second line engraving;Third line engraving;Fourth line engraving;Engraving on back filename;GS1 digitallink;L [mm];Rozm?r (L1) [mm];Rozm?r (Z) [mm];Rozm?r (Z1) [mm];Rozm?r (S) [mm];Rozm?r (S1) [mm];Prm. (d) [mm];Po?et d?r (n);Rozm?r (H) ;Rozm?r (D1)  [mm] ;Rozm?r (D2)  [mm] ;Sá?ek ks;Sá?ek jednotka EN;Po?et sá?k? v krabici;Jednotka sacky v krabici EN;Krabice ks;Krabice jednotka EN;UNC obrazek stitek;Popis štítek EN;Popis štítek CZ;Popis štítek CZ bez rozm?ru;Druh zápisu;Název;Zkrácený popis štítek CZ PH;RZZZ; Nákupní cena CN [USD] ;P?vdoní cena;Zdražení;bbb;nár?st;fa;Drawing_url;picture_url;Typ Krabice;Rozm?r Krabice;Rozm?r sá?ku;x11;Objednávka 0;Objednávka krabic 0;1. Objednávka ks;1. Objednávka krabic;1 objednávka cena za položky;Váha zboží 1. objednávky [kg];NC Zboží po Michalovi CZK;Cena dopravy CZK;Cena cla;Základní kalkulace NC sklad;NC po clu a doprave za  3000USD, USD je 24;NC po clu a doprave za  5000USD, USD je 24;NC po clu a doprave za  7000USD, USD je 24;NC po clu a doprave za  10000USD, USD je 24; ARSECO DPC ;Kod ARSECO; ARSECO 50% TENDR ; ARSECO ARENA ; Nákup VO DE EUR ; Nákup VO DE CZK ;Násobek DE vs Nákupní cena CN;Nejlevn?jší na Inet;rozdíl nákup vs internet koeficient;NC priblizebna sklad;Cenik TP316L;PC ARSECO TAVINOX;PC VO1 TAVINOX;Hruba marze PC ARSECO TAVINOX;Hruba marze PC VO1 TAVINOX;2. Objednávka ks;2. Objednávka krabic;3. Objednávka ks;3. Objednávka krabic;4. Objednávka ks;4. Objednávka krabic
;;;DlouhýNázevSpot?ebitelskéJednotky;;DlouhýNázevSpot?ebitelskéJednotky;;?istéMnožstvíProduktu;;;GPC;Popiova?Spot?ebitelskéJednotky;;;NižšíGTIN;;Zem?Prodeje;;;;Zem?Prodeje;;;;Zem?Prodeje;;;;Zem?Prodeje;;;;Zem?Prodeje;;;;Zem?Prodeje;;;;Zem?Prodeje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GTIN;Status;NázevZna?ky;KódJazyka;Hodnota;KódJazyka;Hodnota;Hodnota;M?rnáJednotka;M?rnáJednotka Kód;KódGPC;KódPopisova?eSpot?ebitelskéJednotky;Popiova?Spot?ebitelskéJednotky;JeSpot?ebitelskáJednotkaLogistickouJednotkou;Množství;GTIN;KódZem?;NázevZem?;Dodate?náIdentifikaceSpot?ebitelskéJednotky - P?id?leno dodavatelem;UrlExternihoObrazku;KódZem?;NázevZem?;Dodate?náIdentifikaceSpot?ebitelskéJednotky - P?id?leno dodavatelem;UrlExternihoObrazku;KódZem?;NázevZem?;Dodate?náIdentifikaceSpot?ebitelskéJednotky - P?id?leno dodavatelem;UrlExternihoObrazku;KódZem?;NázevZem?;Dodate?náIdentifikaceSpot?ebitelskéJednotky - P?id?leno dodavatelem;UrlExternihoObrazku;KódZem?;NázevZem?;Dodate?náIdentifikaceSpot?ebitelskéJednotky - P?id?leno dodavatelem;UrlExternihoObrazku;KódZem?;NázevZem?;Dodate?náIdentifikaceSpot?ebitelskéJednotky - P?id?leno dodavatelem;UrlExternihoObrazku;KódZem?;NázevZem?;Dodate?náIdentifikaceSpot?ebitelskéJednotky - P?id?leno dodavatelem;UrlExternihoObrazku;Vytvo?enoDatum?as;PosledníZm?naDatum?as;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683000007;ACTIVE;TAVINOX;CS;PRESS 316L Nátrubek (FxF) 15 mm;EN;PRESS 316L Equal Coupler (FxF) 15 mm;1.0000000000;Kus;H87;10004022;BASE_UNIT_OR_EACH;Kus, základní balení;TRUE;;;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:36:13;21.10.2024 18:14:55;08596683000007;08596683000014;08596683000021;Základní položka;TP;Nátrubek;NA;04;;FxF;FF;10;.;NA10FF.15;NA10FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;15;;0,037;15;;15 mm;<Logo TAVINOX Centered>;TAVINOX;(M)15-316L;DVGW;08596683000007.jpg;https://id.tavinox.com/01/08596683000007;48;;8;;;;;;;;;10;pcs;30;bags;300;pcs;C:/images/NA10FF_label_drawing.png;PRESS 316L Equal Coupler (FxF);Nátrubek;PRESS 316L Nátrubek (FxF);3;PRESS 316L Nátrubek (FxF) 15 mm;Nátrubek ;(FxF) 15 mm; $0,76 ; $0,62 ; $0,14 ;1,225806452;23%; $0,69 ;;;A;320x240x170;230x210;;900;3;1500;5; $1 140,00 ;55,50;18,60;0,63;0,71;19,95;19,61;19,82;20,03;20,34; 111,89 K? ;16440001; 55,95 K? ; 53,15 K? ; 1,72 € ; 43,52 K? ;218%;133,00 K?;6,667743888;19,95 K?;179,52 K?;44,88 K?;78,99 K?;24,93 K?;59,04 K?;3000;10;3600;12;;
08596683000014;DRAFT;TAVINOX;CS;PRESS 316L Nátrubek (FxF) 15 mm;EN;PRESS 316L Equal Coupler (FxF) 15 mm;10.0000000000;Kus;H87;10004022;PACK_OR_INNER_PACK;Balení nebo vnit?ní balení;TRUE;10;08596683000007;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:58:53;21.10.2024 18:23:47;08596683000014;;;Balení nebo vnit?ní balení;TP;Nátrubek;NA;04;;FxF;FF;10;.;NA10FF.15;NA10FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;15;;;15;;15 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Equal Coupler (FxF);Nátrubek;PRESS 316L Nátrubek (FxF);;PRESS 316L Nátrubek (FxF) 15 mm;Nátrubek ;(FxF) 15 mm;;; $-   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683000021;DRAFT;TAVINOX;CS;PRESS 316L Nátrubek (FxF) 15 mm;EN;PRESS 316L Equal Coupler (FxF) 15 mm;300.0000000000;Kus;H87;10004022;CASE;Krabice, karton;TRUE;30;08596683000014;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;21.10.2024 18:23:59;21.10.2024 18:34:41;08596683000021;;;Krabice, karton;TP;Nátrubek;NA;04;;FxF;FF;10;.;NA10FF.15;NA10FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;15;;;15;;15 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Equal Coupler (FxF);Nátrubek;PRESS 316L Nátrubek (FxF);;PRESS 316L Nátrubek (FxF) 15 mm;Nátrubek ;(FxF) 15 mm;;; $-   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683000038;DRAFT;TAVINOX;CS;PRESS 316L Nátrubek (FxF) 18 mm;EN;PRESS 316L Equal Coupler (FxF) 18 mm;1.0000000000;Kus;H87;10004022;BASE_UNIT_OR_EACH;Kus, základní balení;TRUE;;;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:36:13;21.10.2024 18:14:55;08596683000038;08596683000045;08596683000052;Základní položka;TP;Nátrubek;NA;04;;FxF;FF;10;.;NA10FF.18;NA10FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;18;;0,041;18;;18 mm;<Logo TAVINOX Centered>;TAVINOX;(M)18-316L;DVGW;08596683000038.jpg;https://id.tavinox.com/01/08596683000038;48;;8;;;;;;;;;10;pcs;20;bags;200;pcs;C:/images/NA10FF_label_drawing.png;PRESS 316L Equal Coupler (FxF);Nátrubek;PRESS 316L Nátrubek (FxF);3;PRESS 316L Nátrubek (FxF) 18 mm;Nátrubek ;(FxF) 18 mm; $0,83 ; $0,69 ; $0,14 ;1,202898551;20%;;;;A;320x240x170;230x210;;800;4;1200;6; $996,00 ;49,20;20,32;0,70;0,78;21,79;21,42;21,65;21,88;22,23; 121,04 K? ;16440002; 60,52 K? ; 57,49 K? ; 1,86 € ; 47,06 K? ;216%;78,00 K?;3,578894512;21,79 K?;196,15 K?;49,04 K?;86,31 K?;27,24 K?;64,51 K?;3000;15;4600;23;;
08596683000045;DRAFT;TAVINOX;CS;PRESS 316L Nátrubek (FxF) 18 mm;EN;PRESS 316L Equal Coupler (FxF) 18 mm;10.0000000000;Kus;H87;10004022;PACK_OR_INNER_PACK;Balení nebo vnit?ní balení;TRUE;10;08596683000038;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:58:53;21.10.2024 18:23:47;08596683000045;;;Balení nebo vnit?ní balení;TP;Nátrubek;NA;04;;FxF;FF;10;.;NA10FF.18;NA10FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;18;;;18;;18 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Equal Coupler (FxF);Nátrubek;PRESS 316L Nátrubek (FxF);;PRESS 316L Nátrubek (FxF) 18 mm;Nátrubek ;(FxF) 18 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683000052;DRAFT;TAVINOX;CS;PRESS 316L Nátrubek (FxF) 18 mm;EN;PRESS 316L Equal Coupler (FxF) 18 mm;200.0000000000;Kus;H87;10004022;CASE;Krabice, karton;TRUE;20;08596683000045;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;21.10.2024 18:23:59;21.10.2024 18:34:41;08596683000052;;;Krabice, karton;TP;Nátrubek;NA;04;;FxF;FF;10;.;NA10FF.18;NA10FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;18;;;18;;18 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Equal Coupler (FxF);Nátrubek;PRESS 316L Nátrubek (FxF);;PRESS 316L Nátrubek (FxF) 18 mm;Nátrubek ;(FxF) 18 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08596683000069;ACTIVE;TAVINOX;CS;PRESS 316L Nátrubek (FxF) 22 mm;EN;PRESS 316L Equal Coupler (FxF) 22 mm;1.0000000000;Kus;H87;10004022;BASE_UNIT_OR_EACH;Kus, základní balení;TRUE;;;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:36:13;21.10.2024 18:14:55;08596683000069;08596683000076;08596683000083;Základní položka;TP;Nátrubek;NA;04;;FxF;FF;10;.;NA10FF.22;NA10FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;22;;0,053;22;;22 mm;<Logo TAVINOX Centered>;TAVINOX;(M)22-316L;DVGW;08596683000069.jpg;https://id.tavinox.com/01/08596683000069;50;;8;;;;;;;;;10;pcs;15;bags;150;pcs;C:/images/NA10FF_label_drawing.png;PRESS 316L Equal Coupler (FxF);Nátrubek;PRESS 316L Nátrubek (FxF);3;PRESS 316L Nátrubek (FxF) 22 mm;Nátrubek ;(FxF) 22 mm; $1,01 ; $0,87 ; $0,14 ;1,16091954;16%; $0,94 ;;;A;320x240x170;230x210;;600;4;900;6; $909,00 ;47,70;24,72;0,90;0,95;26,58;26,09;26,39;26,69;27,14; 130,89 K? ;16440003; 65,45 K? ; 62,17 K? ; 2,01 € ; 50,85 K? ;191%;78,00 K?;2,934994999;26,58 K?;239,18 K?;59,80 K?;105,24 K?;33,22 K?;78,66 K?;2250;15;3450;23;;
08596683000076;DRAFT;TAVINOX;CS;PRESS 316L Nátrubek (FxF) 22 mm;EN;PRESS 316L Equal Coupler (FxF) 22 mm;10.0000000000;Kus;H87;10004022;PACK_OR_INNER_PACK;Balení nebo vnit?ní balení;TRUE;10;08596683000069;203;?eská republika;;;703;Slovensko;;;616;Polsko;;;276;N?mecko;;;040;Rakousko;;;348;Ma?arsko;;;804;Ukrajina;;;15.10.2024 19:58:53;21.10.2024 18:23:47;08596683000076;;;Balení nebo vnit?ní balení;TP;Nátrubek;NA;04;;FxF;FF;10;.;NA10FF.22;NA10FF;N;TVAROVKA;NB_TVAROVKA;NingBo CB Piping System Co., Ltd.;315100;CN;EN 10312;AISI 316L;22;;;22;;22 mm;;;;;;;;;;;;;;;;;;;;;;;;;PRESS 316L Equal Coupler (FxF);Nátrubek;PRESS 316L Nátrubek (FxF);;PRESS 316L Nátrubek (FxF) 22 mm;Nátrubek ;(FxF) 22 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
